subjects,isSpeed,jitter,abs_error,R,rt
1,0,15,0.136936,-0.136936,0.71711
1,0,45,0.039712,0.039712,0.93055
1,0,45,0.41606,-0.41606,0.94921
1,0,45,1.74908,-1.74908,1.6071
1,0,45,0.0183848,-0.0183848,1.1798
1,0,15,0.0882,-0.0882,0.85932
1,0,15,0.25876,0.25876,0.84354
1,0,15,0.39352,0.39352,0.88485
1,0,30,0.20038,-0.20038,0.83895
1,0,15,0.02685,0.02685,0.92471
1,0,15,0.23902,-0.23902,0.76782
1,0,15,0.04282,-0.04282,0.83433
1,0,45,0.3206,-0.3206,0.78513
1,0,30,0.24288,-0.24288,0.7862
1,0,15,0.26562,-0.26562,0.74393
1,0,45,0.81402,0.81402,1.3683
1,0,15,0.04289,-0.04289,0.85042
1,0,45,0.48358,0.48358,1.0414
1,0,15,0.054404,0.054404,0.83993
1,0,30,0.0152326,-0.0152326,0.72283
1,0,15,0.146516,0.146516,0.71671
1,0,15,0.4785,-0.4785,0.72213
1,0,45,1.0147,-1.0147,0.86203
1,0,45,0.20344,0.20344,1.002
1,0,45,0.3766,0.3766,1.4932
1,0,45,0.67272,0.67272,0.96195
1,0,30,1.02248,1.02248,1.2178
1,0,30,0.43492,0.43492,0.95258
1,0,45,0.59888,-0.59888,1.2346
1,0,30,0.54922,0.54922,0.99877
1,0,30,0.25946,-0.25946,1.9994
1,0,15,0.20858,0.20858,1.8597
1,0,30,0.47484,-0.47484,1.4478
1,0,15,0.131422,0.131422,1.0362
1,0,30,0.83254,0.83254,1.5352
1,0,45,0.61078,-0.61078,2.2114
1,0,15,0.056074,0.056074,1.6321
1,0,45,1.15008,-1.15008,1.2626
1,0,30,0.099572,-0.099572,1.7317
1,0,15,0.25716,-0.25716,0.80619
1,0,45,0.9725,-0.9725,0.72319
1,0,15,1.52614,1.52614,0.43798
1,0,15,0.13256,0.13256,0.58089
1,0,15,0.28856,-0.28856,0.65925
1,0,45,0.39514,0.39514,0.91567
1,0,30,0.46748,-0.46748,0.67345
1,0,15,0.0163002,-0.0163002,0.61993
1,0,15,0.2068,0.2068,2.33
1,0,45,0.21742,-0.21742,1.2509
1,0,15,0.29212,0.29212,0.95676
1,0,30,0.049598,0.049598,0.8957
1,0,45,0.37006,0.37006,0.88417
1,0,45,0.67648,0.67648,0.83532
1,0,15,0.35252,-0.35252,0.75589
1,0,45,0.88334,-0.88334,1.2926
1,0,30,0.094646,-0.094646,1.0964
1,0,45,1.03802,-1.03802,1.0804
1,0,45,0.50752,-0.50752,1.3086
1,0,45,1.98148,-1.98148,0.84205
1,0,15,0.04828,0.04828,0.71824
1,0,15,0.114338,0.114338,0.74261
1,0,30,0.006235,-0.006235,1.0792
1,0,15,0.045884,0.045884,1.1661
1,0,30,0.5235,0.5235,0.84729
1,0,30,0.23998,0.23998,0.84522
1,0,30,0.64328,0.64328,0.79006
1,0,30,0.41482,0.41482,1.1186
1,0,45,0.08372,0.08372,1.2284
1,0,30,0.27398,-0.27398,1.1803
1,0,30,0.10233,-0.10233,0.87483
1,1,45,0.3123,0.3123,1.1183
1,1,15,0.55978,-0.55978,0.50882
1,1,30,0.3742,0.3742,0.49423
